1,1.000E-07,4.399E+03,3.134E+02,6.071E+02,8.997E+02
2,5.380E-01,1.415E+02,5.904E+01,6.484E+01,3.128E+01
3,1.288E+01,4.138E+01,2.112E+01,2.252E+01,5.833E+00
4,1.393E+01,6.567E+01,3.433E+01,3.569E+01,1.378E+01
5,4.471E+01,1.010E+03,3.096E+02,3.483E+02,2.206E+02
6,1.132E+02,1.985E+04,2.666E+02,3.170E+03,5.718E+03
7,5.895E+01,2.041E+02,1.103E+02,1.176E+02,4.078E+01
8,2.506E+01,2.700E+02,3.895E+01,8.718E+01,7.290E+01
9,1.808E+02,3.730E+02,1.902E+02,2.018E+02,3.881E+01
10,1.006E+02,3.427E+03,1.503E+03,1.328E+03,1.198E+03
11,1.000E-07,9.148E+02,3.000E+02,3.828E+02,1.680E+02
12,2.471E+02,5.523E+02,3.384E+02,3.483E+02,7.576E+01
78.0,797.7680002,31248.749999999996,3484.94,6714.130000000001,8483.443000000001
